Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
61.3859243,64.94422896,25.57301551,36.40217201,1.320000052,131.3000031,3.790092468,2.5
62.39090565,64.94422369,25.57304455,36.2792991,1.330000043,127.3000031,3.790092468,2.5
63.39063809,64.94421692,25.57307005,36.39513378,1.309999943,132.6999969,3.790092468,2.5
64.39240636,64.94420864,25.57309342,36.52463921,1.370000005,144.8000031,3.790092468,2.5
65.39229438,64.94419901,25.57311314,36.69894371,1.350000024,148.5,3.790092468,2.5
66.38636797,64.94418855,25.57313223,36.90974654,1.330000043,141.6999969,3.790092468,2.5
67.38908151,64.94417712,25.57314985,36.65759701,1.370000005,147.3000031,3.790092468,2.5
68.39215734,64.94416654,25.57317016,36.81023304,1.360000014,140.0,3.790092468,2.5
69.39009369,64.94415703,25.57318716,36.86295601,1.320000052,147.1999969,3.790092468,2.5
70.39050399,64.94414688,25.57320644,36.20657161,1.340000033,141.5,3.790092468,2.5
71.38675529,64.94413783,25.57322543,35.95118925,1.350000024,147.3999939,3.790092468,2.5
72.39140258,64.94412758,25.57323828,35.66840187,1.25999999,154.3999939,3.790092468,2.5
73.39176789,64.94411526,25.57324667,34.88890908,1.289999962,163.0,3.790092468,2.5
74.3910095,64.94410493,25.57325813,34.36100463,1.360000014,145.8999939,3.790092468,2.5
75.39202324,64.94409501,25.5732674,34.34774932,1.330000043,148.3000031,3.790092468,2.5
76.39011042,64.94408475,25.57328397,34.3562822,1.340000033,143.3999939,3.790092468,2.5
77.39040115,64.94407496,25.57329954,33.6655969,1.340000033,146.1999969,3.790092468,2.5
78.38985964,64.9440657,25.57331079,33.22625551,1.309999943,150.0,3.790092468,2.5
79.39033619,64.94405615,25.57332403,33.1008784,1.299999952,149.1999969,3.790092468,2.5
80.39000733,64.94404515,25.57334401,32.90079191,1.440000057,145.5,3.790092468,2.5
81.38639353,64.94403621,25.57336232,32.77663535,1.269999981,139.6999969,3.790092468,2.5
82.3907491,64.94402532,25.57337588,32.56513632,1.340000033,153.1999969,3.790092468,2.5
83.3904292,64.94401409,25.57339302,32.36077757,1.419999957,143.3000031,3.790092468,2.5
84.39075237,64.94400488,25.57341047,32.41936013,1.360000014,143.3999939,3.790092468,2.5
85.39168679,64.94399582,25.57342509,32.38132459,1.350000024,144.3000031,3.790092468,2.5
86.38719267,64.943986,25.57344044,32.25002651,1.360000014,144.3999939,3.790092468,2.5
87.38646241,64.94397676,25.57345905,32.23103319,1.350000024,139.0,3.790092468,2.5
88.3906335,64.94396754,25.5734783,31.86096558,1.350000024,137.0,3.790092468,2.5
89.390645,64.94395717,25.57349385,32.47032857,1.429999948,143.8999939,3.790092468,2.5
90.39078422,64.94394728,25.57350606,32.03513683,1.379999995,142.6000061,3.790092468,2.5
91.39139223,64.94393851,25.57351826,31.3359691,1.330000043,142.8999939,3.790092468,2.5
92.38685587,64.94392881,25.5735312,30.54103622,1.360000014,142.3000031,3.790092468,2.5
93.39083899,64.94391828,25.57354665,30.49219595,1.360000014,143.8000031,3.790092468,2.5
